유형1,유형2,유형3,유형4,시작일, 종료일
50대 이상, 노후, 명예, 열정, 2024-10-29 17:02:57, 2024-10-29 17:02:28
20대, 직장, , , 2024-10-29 17:04:16, 
10대, , , , 2024-10-29 17:04:25, 
50대 이상, 노후, NULL, NULL, 2024-10-29 17:06:22, NULL
-, -, -, -, 2024-10-29 17:07:12, -
30대, 육아, 출산O (듀크족), 분신술, 2024-10-29 17:07:29, -
-, -, -, -, 2024-10-29 17:07:40, -
20대, 취업, 보수, 난이도, 2024-10-29 17:08:12, -
20대, 직장, 성격, -, 2024-10-29 17:08:52, -
20대, 직장, 성격, 간섭, 2024-10-29 17:09:58, -
50대 이상, -, -, -, 2024-10-29 17:11:28, -
20대, 취업, 보수, 적성, 2024-10-29 17:11:32, -
20대, 직장, 업무, 연차, 2024-10-29 17:12:42, -
20대, 직장, 업무, 연차, 2024-10-29 17:12:42, 2024-10-29 17:13:01
20대, 직장, 업무, 연차, 2024-10-29 17:12:42, 2024-10-29 17:13:15
20대, 직장, 업무, 연차, 2024-10-29 17:12:42, 2024-10-29 17:13:17
20대, 직장, 업무, 연차, 2024-10-29 17:12:42, 2024-10-29 17:13:17
40대, 직장, 실력, 온천, 2024-10-29 17:13:31, -
30대, 결혼, 비혼, 참견, 2024-10-29 17:14:59, 2024-10-29 17:15:17
30대, 결혼, 비혼, 참견, 2024-10-29 17:14:59, -
50대 이상, 건강, 살, 정적, 2024-10-29 17:16:12, -
40대, 직장, 명예, 열정, 2024-10-29 17:16:22, -
50대 이상, 노후, 자녀, 결혼, 2024-10-29 17:17:03, -
30대, 결혼, 비혼, 소개팅주선, 2024-10-29 17:18:09, -
50대 이상, 건강, 살, 정적, 2024-10-29 17:19:00, -
50대 이상, 노후, 자녀, 결혼, 2024-10-29 17:19:08, 2024-10-29 17:19:26
20대, 직장, 성격, 간섭, 2024-10-29 17:20:46, -
20대, 직장, 성격, 간섭, 2024-10-29 17:21:42, -
20대, 직장, -, -, 2024-10-29 17:23:35, -
0, 2, 4, -, 2024-10-29 17:23:41, -
50대 이상, 노후, 자녀, 결혼, 2024-10-29 17:24:20, -
20대, 취업, 보수, 난이도, 2024-10-29 17:24:28, -
50대 이상, 노후, 본인, 귀농, 2024-10-29 17:25:24, -
20대, 연애, 성격, 말, 2024-10-29 17:26:24, -
20대, 직장, 성격, 간섭, 2024-10-29 17:27:24, -
50대 이상, 건강, 살, 정적, 2024-10-29 17:27:44, -
50대 이상, 노후, 본인, 귀농, 2024-10-29 17:28:44, -
50대 이상, 노후, 본인, 귀농, 2024-10-29 17:30:15, 2024-10-29 17:30:32
30대, 결혼, 비혼, -, 2024-10-29 17:30:44, -
-, -, -, -, 2024-10-29 17:31:50, -
50대 이상, -, -, -, 2024-10-29 17:32:51, -
50대 이상, 외로움, -, -, 2024-10-29 17:33:05, -
20대, 취업, 보수, 난이도, 2024-10-29 17:33:07, 2024-10-29 17:33:32
20대, 취업, 보수, 난이도, 2024-10-29 17:33:07, 2024-10-29 17:33:32
50대 이상, 외로움, -, -, 2024-10-29 17:33:47, -
20대, 직장, 성격, 간섭, 2024-10-29 17:33:50, 2024-10-29 17:34:18
50대 이상, 건강, -, -, 2024-10-29 17:34:30, -
30대, 육아, 출산X (딩크족), 여행, 2024-10-29 17:35:04, -
40대, 자기계발, 창업, 유행, 2024-10-29 17:36:49, 2024-10-29 17:37:07
20대, 직장, 성격, 간섭, 2024-10-29 17:38:08, 2024-10-29 17:38:25
20대, 직장, 성격, 간섭, 2024-10-29 17:41:27, 2024-10-29 17:41:45
20대, 취업, 보수, 난이도, 2024-10-29 17:43:39, 2024-10-29 17:43:57
20대, 직장, 성격, 간섭, 2024-10-29 17:45:05, 2024-10-29 17:45:22
50대 이상, 가족, 자녀결혼, 전부, 2024-10-29 17:46:28, 2024-10-29 17:46:47
30대, 육아, 출산O (듀크족), 분신술, 2024-10-29 17:47:34, 2024-10-29 17:47:52
50대 이상, 가족, 부모님건강, 행동, 2024-10-29 17:48:29, 2024-10-29 17:48:47
20대, 직장, 성격, 간섭, 2024-10-29 17:52:13, -
30대, 육아, 출산O (듀크족), 분신술, 2024-10-29 17:54:33, -
50대 이상, 노후, 본인, -, 2024-10-29 17:54:54, -
-, -, -, -, 2024-10-29 17:55:07, -
50대 이상, 가족, 자녀결혼, 적당히, 2024-10-29 18:03:49, 2024-10-29 18:04:07
